"Atnaujinti telefonus"," Visus, kurie yra sąraše.",1544627880,1,0
"Atšvęsti uošvienės jubiliejų","Nupirkti dovaną uošvienei ir visoms jos dukroms.",1547312400,1,1
"Dar su kuo nors susipažinti","Kaimynai netinka.",1561928400,0,1
"Grąžinti skolą Antanui",,1672588800,1,1
"Išmokti groti smuiku","Muzikos mokykla &quot;Varpelis&quot;",1564722000,0,0
"Nauja užduotis","Rytdienai - padaryti daugiau PHP.",1517436000,0,0
"Nupirkti mėsos"," Kelis kilogramus, nes reikės karbonadų.",1535785200,0,0
"Nupirkti mėsos"," Kelis kilogramus, nes reikės karbonadų.",1573250400,0,1
"Padaryti kaimyno namų darbus","Ir gauti neblogą vakarienę.",1549440000,0,1
"Padėti Jonui persikraustyti"," Iš Naujininkų į Nemajūnus.",1620594000,0,1
"Pareiti per klasę","Visada prašom",1533078000,0,0
"Paskambinti Putinui","Paklausti, kada grąžins Krymą.",1538384400,0,0
"Pastatyti tvorą","Reikės gerų lentų.",1646949600,0,0
"Pašerti kates","Kaimynė paprašė.",1514800800,0,0
"Perrašyti Maironį","Pelėsiais ir kerpėm ir kt.",1538694000,0,0
"Perrašyti Maironį","Pelėsiais ir kerpėm ir kt.",1538694000,0,0
"Pradėti sportuoti",,1708466400,1,1
"Prikalti plintusą","Tik reiks žemai lenktis, tai kelnės turi būti neveržiančios.",1519873200,0,1
"Sudalyvauti maratone","Reiks normaliai pasiruošti.",1559520360,0,0
"Sudeginti padangas","Dar už garažo liko nuo &quot;Žigulio&quot;.",1654808400,0,0
"Sukalti inkilą","O dar geriau tris.",1521064800,0,0
"Susidraugauti su krokodilu Gena","Zooparkas, trečias voljeras.",1528657200,1,0
"Sutvarkyti virtuvę","Išplauti indus ir t.t.",1517436000,0,1
"Taip pat",,1514757600,0,0
